Name,Address,Chain,AllTimeHigh,AllTimeLow,scam
Million,0x6B4c7A5e3f0B99FCD83e9c089BDDD6c7FCe5c611,ETH,229,4.00E-12,1
ThorChain,0x3155BA85D5F96b2d030a4966AF206230e46849cb,ETH,19.7,1.6,1
Titan,0x3A8cCCB969a61532d1E6005e2CE12C200caeCe87,ETH,9.95,0.1925,1
Uranium,0xc61429117038A1f13881DD7410B80771F28e06ec,ETH,0.000245,0.00000936,1
MeerKat,0x22a31bD4cB694433B6de19e0aCC2899E553e9481,ETH,21377,86.75,1
Squid,0x21ad647b8F4Fe333212e735bfC1F36B4941E6Ad2,ETH,2861,0.0007926,1
BitConnect,0x88e304D8638c31DaC3336917bbE4A152927198D8,ETH,463,0.6,1
Uniswap,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,ETH,44.97,0.419,0
SushiSwap,0x6B3595068778DD592e39A122f4f5a5cF09C90fE2,ETH,23.38,0.4737,0
Aave,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,ETH,666.86,57,0
DAI,0x6b175474e89094c44da98b954eedeac495271d0f,ETH,3.67,0.9455,0
Polygon,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,ETH,2.92,0.003012,0
Cosmos,0x8D983cb9388EaC77af0474fA441C4815500Cb7BB,ETH,44.7,1.13,0
Curve,0xD533a949740bb3306d119CC777fa900bA034cd52,ETH,60.5,0.3316,0
Compound,0xc00e94Cb662C3520282E6f5717214004A7f26888,ETH,911.2,26.52,0
LIDO,0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32,ETH,18.62,0.406,0
